,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DOW,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,RTX,TRV,UNH,VZ,V,WMT,WBA,DIS,^DJI
2000-02-09,43.8125,45.679718017578125,4.0223212242126465,39.0,19.5625,37.5,64.40625,28.5,,38.125,86.75,58.75,117.375,52.3125,40.0,55.25,35.875,71.375,52.0,4.21875,36.125,47.0,15.929830551147461,25.4375,6.7421875,51.992095947265625,,57.8125,29.9375,37.17871856689453,10699.16015625
2000-02-10,43.0,45.07794952392578,4.0535712242126465,39.75,19.03125,38.40625,67.96875,28.34375,,37.9375,86.625,59.5625,119.125,53.8125,39.0,55.41666793823242,35.5,69.0,53.0,4.21875,35.0,45.71875,15.77249813079834,24.5,7.234375,51.317604064941406,,57.0,30.625,36.4388427734375,10643.6298828125
2000-02-11,41.46875,44.78618240356445,3.8839285373687744,39.875,18.0,37.0,65.46875,27.78125,,36.9375,85.125,60.0625,115.375,52.9375,38.71875,55.08333206176758,34.9375,65.25,49.96875,4.25,35.0,46.875,15.221837997436523,24.375,7.0,50.36207580566406,,56.0625,29.625,37.363685607910156,10425.2099609375
2000-02-14,41.4375,44.93206787109375,4.136160850524902,38.25,19.3125,36.90625,65.25,27.0625,,38.21875,86.5,60.3125,116.0625,54.9375,38.8125,52.70833206176758,33.875,66.0625,49.8125,4.0390625,35.0,45.9375,15.831498146057129,24.25,7.109375,49.74378967285156,,58.875,29.8125,36.5004997253418,10519.83984375
2000-02-15,44.5625,46.427371978759766,4.25,38.5,20.0,38.75,64.0,27.84375,,39.65625,86.5,59.75,117.125,56.0,39.84375,54.04166793823242,33.75,65.625,49.28125,3.8046875,35.5625,47.875,16.50015640258789,24.3125,7.421875,48.78826141357422,,58.0,28.5,36.3771858215332,10718.08984375
2000-02-16,44.15625,44.886478424072266,4.075892925262451,37.25,19.59375,38.90625,63.5859375,26.78125,,40.0,82.9375,57.25,115.75,53.59375,39.90625,53.0,33.375,65.5,48.8125,3.6875,33.75,47.0234375,16.401824951171875,24.5,7.6640625,49.518959045410156,,52.75,27.5,36.4388427734375,10561.41015625
2000-02-17,44.8125,43.163230895996094,4.1026787757873535,37.5,19.34375,38.875,65.25,26.15625,,38.9375,82.125,54.5,116.75,55.0,39.59375,52.25,33.75,63.25,49.8125,3.625,34.0,47.09375,17.031150817871094,24.625,7.859375,48.33859634399414,,48.375,27.375,36.00725173950195,10514.5703125
2000-02-18,43.78125,40.33674240112305,3.9732143878936768,36.0,18.84375,38.09375,62.90625,25.6875,,37.5,80.8125,53.75,112.5,52.6875,38.71875,49.83333206176758,32.5,62.0,47.53125,3.5,34.0,46.8203125,16.480491638183594,23.625,7.234375,46.652366638183594,,47.75,26.1875,35.020748138427734,10219.51953125
2000-02-22,45.0625,40.592037200927734,4.064732074737549,38.875,19.15625,37.84375,61.96875,25.875,,37.71875,81.5625,53.625,111.0,53.375,39.3125,51.5,32.3125,65.5,46.90625,3.375,33.5,46.4375,16.834487915039062,23.875,7.3515625,46.9896125793457,,48.125,26.25,32.9244384765625,10304.83984375
2000-02-23,46.15625,40.300270080566406,4.151785850524902,37.125,18.90625,36.625,69.3125,25.625,,37.3125,85.75,54.8125,108.75,54.53125,38.0625,51.58333206176758,32.625,63.125,47.125,3.5078125,34.0,45.3125,16.59848976135254,23.75,7.15625,45.19096755981445,,47.0,26.75,33.66431427001953,10225.73046875
